scene_name,rrt_star,arg=3,arg=4,arg=5,arg=6,arg=7,arg=8,arg=9
60.json,14.84958768,2.75118804,2.543015957,2.429783106,2.210077548,2.22662034,2.330113173,2.188581443
61.json,28.60312075,3.886420417,3.109145141,2.95350163,2.515231991,2.649796295,2.401419282,2.287946296
62.json,1.653942108,2.457112694,2.165469456,2.147004485,2.091724801,2.088846016,2.070674849,2.085731649
63.json,25.07910474,2.987830949,2.496857476,2.51825521,2.432025003,2.447460485,2.33463037,2.172357488
64.json,17.33348997,3.124555707,2.864422798,2.52356751,2.552127218,2.432819128,2.285954213,2.222594786
65.json,14.28356484,3.185616922,2.799158096,2.631494761,2.619775057,2.719733691,2.442920995,2.284869504
66.json,23.23242657,3.721498704,3.021508813,2.719337273,2.642286277,2.654405642,2.826840544,2.742301965
67.json,24.47390366,3.287590504,3.017324924,2.757876706,2.648824048,2.580253196,2.581108165,2.416517568
68.json,1.733061632,2.093951488,2.084174752,2.062701535,2.067090225,2.078482056,2.063401651,2.07401979
69.json,1.754731417,2.222166276,2.046502447,2.094966817,2.118970394,2.126320601,2.096449304,2.117318511
70.json,1.688198249,2.204480672,2.087955952,2.075842166,2.086250067,2.088510799,2.101840925,2.069954729
71.json,1.374556621,2.235107708,2.116539097,2.119949508,2.115353918,2.10667758,2.092968559,2.112542772
72.json,1.197508891,2.338750291,2.272765613,2.163552904,2.10026238,2.130666184,2.115651584,2.129222512
73.json,6.296986183,2.36425705,2.223475814,2.165967917,2.156301212,2.169997406,2.165560651,2.16617403
74.json,3.94400835,2.40866003,2.29184916,2.294395709,2.180548239,2.155184031,2.162282801,2.185145998
75.json,3.961967309,2.662559748,2.429065657,2.475810814,2.372636366,2.169780827,2.169990683,2.183322453
76.json,7.583259741,2.730224037,2.516275859,2.442857409,2.357116771,2.272585893,2.178965044,2.192316318
77.json,5.568416754,3.247771049,2.684777355,2.449616432,2.353498077,2.304307818,2.259197545,2.208367658
78.json,3.627057552,3.010531139,2.539613366,2.350988603,2.310807705,2.321038175,2.225113845,2.283245039
79.json,4.09099412,2.280085111,2.175229669,2.163547873,2.158659959,2.144227242,2.147412395,2.140908313
80.json,16.62830742,3.017383885,2.768483377,2.565077615,2.554593349,2.436579633,2.320035815,2.27062881
81.json,5.709437529,3.049377513,2.716913891,2.562008834,2.404513311,2.388690543,2.378113317,602.133965
82.json,7.721884489,3.573240829,3.12199235,2.850073862,2.723217392,2.782278252,2.767715311,2.64901998
83.json,9.085887512,3.016095424,2.807630205,2.668250632,2.70800643,2.492395878,2.438180232,2.360059786
84.json,3.973460118,2.664591122,2.418853641,2.426579571,2.322387624,2.313400817,2.283028412,2.269944453
85.json,4.793456921,2.551335025,2.585933948,2.341648746,2.394186997,2.30454011,2.362637067,2.360521412
86.json,9.49437366,2.638882375,2.615515757,2.522811961,2.400555778,2.327461171,2.375338769,2.335535979
87.json,4.113620954,2.587024999,2.578852892,2.292296362,2.250332999,2.239451385,2.252411437,2.28441813
88.json,3.609756321,2.437319422,2.311913204,2.279776812,2.287581062,2.341527128,2.263489461,2.307294869
89.json,11.01703699,2.750925231,2.474170899,2.388595986,2.368521476,2.370078731,2.366008925,2.349601936
90.json,15.0870374,2.420350933,2.324145985,2.411018586,2.284267831,2.312112093,2.246446204,221.298157
91.json,3.271751724,2.843415356,2.413630056,2.432219625,2.291826773,2.262267828,2.249963427,2.217712569
92.json,2.124951839,2.733461308,2.421320987,2.350968933,2.222512865,2.158333349,2.1547616,2.164269853
93.json,1.345029036,2.175171041,2.164826155,2.138669062,2.156211305,2.16906004,2.15564115,2.170264459
94.json,1.754285653,2.332309556,2.167020226,2.238939285,2.200649476,2.213393259,2.185480881,2.194959402
95.json,1.368753115,2.269081688,2.244368744,2.237410331,2.265782452,2.254377627,2.232388711,2.246477532
96.json,2.550006469,2.989452648,2.68566184,2.575627136,2.512382126,2.329266572,2.339681244,2.336702609
97.json,22.04961212,3.965137863,3.439192891,3.117750883,2.907269502,2.805670953,2.707964897,1082.837998
98.json,3.557979563,3.758845019,3.076545262,3.213895965,2.848288631,2.812671947,2.836186647,4.154966569
99.json,15.71437166,5.162729406,3.886183524,3.404130387,3.137109709,3.134343386,4.135025764,3.123719931
100.json,9.246532286,4.927883959,4.168639541,3.81194334,3.31033814,3.592523932,3.734335542,3.196267796
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
