scene_name,rrt_star,arg=3,arg=4,arg=5,arg=6,arg=7,arg=8,arg=9
21.json,48.82042345146624,49.01067302804523,49.06910555601543,49.99880327736105,48.63307293445766,49.93811263272247,49.01492036317278,50.59568526070749
22.json,30.463685917756912,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977
23.json,30.933639748809533,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977,29.666310319990977
24.json,39.42161394716693,31.31572576392968,30.09946140989002,30.700390365767316,30.575483511178305,30.1321964957557,30.359696871911318,32.219003876893254
25.json,51.81888857013229,53.3594045566962,48.8779840343326,52.10981974944989,52.596192825648494,52.6669558740747,54.268663787480406,53.18498090861941
26.json,48.02318452544212,48.83010009764999,49.835761772596875,51.13700115341193,51.24975723577836,52.70021446880794,50.38687874015814,53.0522551842382
27.json,54.54387436420062,59.70012101152675,61.46206085196544,62.28217355505168,63.08592701433876,61.33745001609348,62.568155405623294,64.18484295706762
28.json,47.30630987046554,48.914531930627,49.268928119828374,51.40565651720256,48.95730664227514,54.012152634255585,49.61516576207653,52.36350565596622
29.json,32.75973184068458,35.261737309284584,34.62532176972733,31.91140195818133,31.892507187013575,32.22232644108878,33.160442903620236,32.8811556060448
30.json,42.48918359217627,32.783808964796634,32.40204965877973,33.47025782638954,33.02958081689852,33.85551952981548,32.15044710488688,33.06533564659394
31.json,38.694756337597184,35.47211865287764,35.34227733795371,34.74806096334851,35.44965993959284,35.1144862081881,35.28990960220752,35.04839134352311
32.json,49.20512349810498,41.232309230177336,45.19207710508606,43.83318393417011,43.01934315756786,44.731697014496945,43.4345512328387,43.83433895121523
33.json,52.96605848702062,52.37217079114536,51.292435263393216,51.10123676377716,51.65692414778134,51.28947835454976,51.65812625391533,50.67751452063145
34.json,54.733131915331015,44.48763390508769,44.92765034617066,45.343201698645125,44.75718216530995,43.81756815100388,44.57576932855163,45.80954148040695
35.json,61.646516152624656,57.44279223081909,56.79099287724112,59.58748261716205,60.9175136162908,59.72994035436416,58.21693658466351,59.06658127663519
