scene_name,total_area,robots_distance,max_transition_required,is_linear,prm_length,prm_quality,chunk_size
39.json,122.1415926535898,23.0312195418814,3,0,10.5,61.587284578009324,3
40.json,122.1415926535898,35.492005573892925,3,0,9.1,53.30088555898334,8
41.json,122.1415926535898,27.083141515457363,3,1,7.5,46.010183276099596,3
42.json,122.1415926535898,16.126452950002893,3,1,5.2,30.626448878723302,9
43.json,122.1415926535898,23.091053985755615,3,2,2.0,23.091053985755618,3
44.json,122.1415926535898,27.074073658023497,3,1,6.0,38.1936886588195,9
45.json,104.1415926535898,33.68023221981848,3.5,1,4.7,39.62728133907719,7
46.json,104.1415926535898,27.083141515457363,6.5,0,6.3,38.894442241413074,7
47.json,104.1415926535898,32.1698920010509,4,0,6.8,42.74965655038499,4
48.json,105.1415926535898,32.1698920010509,3,0,6.8,48.75862621646729,5
49.json,107.2831853071796,22.219544457292887,4,0,6.2,37.4125730016374,9
50.json,107.2831853071796,21.219544457292887,3,0,7.4,52.57981072254802,8
51.json,132.14159265358978,27.502062827274536,2.2,0,13.0,61.79677847431019,5
52.json,143.14159265358978,29.13274595042156,3,0,14.5,78.68102444566013,5
53.json,139.14159265358978,29.13274595042156,3,0,14.4,85.44365398679483,3
54.json,154.2831853071796,20.0,3,0,7.0,36.82388207724403,5
55.json,148,20.0,3,0,6.6,35.532122943367796,6
56.json,148,34.40930106817051,3,0,8.5,48.76343150997385,8
57.json,148,34.40930106817051,3,0,8.1,49.57751024936191,9
58.json,180,34.40930106817051,3,0,11.6,66.9629511376659,5
59.json,180,34.40930106817051,3,0,12.0,69.44968258914979,3
60.json,180,28.0,3,0,8.0,45.77097857960844,6
61.json,194,28.0,3,0,14.3,84.38579205819222,6
62.json,194,20.0,3,0,6.3,28.482233541650935,3
63.json,194,34.40930106817051,3,0,14.6,86.99684428743731,4
64.json,200.2831853071796,34.40930106817051,3,0,11.9,67.83613228973347,4
65.json,206.5663706143592,34.40930106817051,3,0,11.2,63.943475500733804,3
66.json,206.5663706143592,28.0,3,0,13.0,75.82567229425271,4
67.json,206.5663706143592,28.0,3,0,15.5,87.16654104343903,4
68.json,90,31.463864143340423,4,0,5.6,40.08135161318474,3
69.json,93,31.463864143340423,4,0,5.6,42.063018417881224,4
70.json,93,29.7038322902917,4,0,5.9,42.0079346616557,5
71.json,96,29.7038322902917,3,0,6.4,44.72446822131424,7
72.json,96,29.892443989449802,3,0,5.9,47.18782409134764,3
73.json,96,29.9236635313312,3,0,7.7,48.33333087622806,4
74.json,106,27.892443989449802,3,0,8.6,49.83526254780095,7
75.json,106,28.866068747318508,3,0,9.5,52.18976710387383,7
76.json,109.2831853071796,28.866068747318508,3,0,11.1,55.521205293732955,9
77.json,112.42477796076938,28.866068747318508,2.2,0,11.8,69.77230691314121,9
78.json,112.42477796076938,28.231546211727817,2.2,0,10.8,63.85414771788451,6
79.json,116.56637061435917,20.035668847618197,4,0,5.8,37.84997726793688,3
80.json,117.42477796076938,35.8322501920848,2.2,0,11.2,58.82702733751817,6
81.json,115.1415926535898,40.518284528683196,2.2,0,10.7,59.60543389339173,6
82.json,124.56637061435917,26.60104705898141,2.2,0,12.9,78.75349733367582,5
83.json,143.42477796076938,26.60104705898141,2.2,0,11.5,68.87882543381069,4
84.json,136.14159265358978,31.518284528683193,2.2,1,7.5,49.52994456928208,9
85.json,102,29.7038322902917,3,0,7.3,46.660469433773436,3
86.json,102,27.165525060596437,3,1,8.3,53.03479015430295,4
87.json,111,27.165525060596437,3,1,7.3,52.60332747589156,9
88.json,111,35.58942684493549,3,0,7.7,50.622192117336226,3
89.json,111.56637061435917,35.58942684493549,2.2,0,9.3,54.10778292278417,4
90.json,111.56637061435917,21.04987562112089,2.2,0,6.5,37.18375806526542,8
91.json,111.1415926535898,21.04987562112089,2.2,0,8.5,51.89721911253198,4
92.json,111.1415926535898,32.59106210029044,2.2,0,7.6,49.83885327397222,4
93.json,91,45.254833995939045,2.2,1,4.9,47.186827479442435,9
94.json,96,45.254833995939045,2.2,1,3.8,46.66987300005007,4
95.json,98,45.254833995939045,2.2,1,5.0,48.37657243298589,6
96.json,101,45.254833995939045,2.2,0,10.7,55.147690981251046,3
97.json,104,45.254833995939045,2.2,0,12.3,59.962629079983586,8
98.json,107.1415926535898,45.254833995939045,2.2,0,13.5,62.716130729937774,4
99.json,112.1415926535898,45.254833995939045,2.2,0,16.9,73.04902048401756,5
100.json,112.1415926535898,45.254833995939045,2.2,0,14.9,69.44779965144845,4
